date,male,female,unknown
1412535027767,13026671,41040307,357751519
1412538627767,34013499,5924005,560833927
1412542227767,74142931,289515,751986479
1412545827767,133031265,4790,881770261
1412549427767,197241307,27,930104696
1412553027767,246999823,0,902140630
1412556627767,271192991,0,809971416
1412560227767,272150799,0,668872349
1412563827767,256205539,0,502849971
1412567427767,226202568,0,341504412
1412571027767,184286617,0,208667140
1412574627767,136328194,0,114523852
1412578227767,90709265,0,56427003
1412581827767,54064883,0,24955396
1412585427767,28825590,0,9906968
1412589027767,13744291,0,3535270
1412592627767,5865304,0,1166746
1412596227767,2255752,0,531688
1412599827767,825943,0,1011041
1412603427767,401688,0,3402111
1412607027767,476886,0,10077755
1412610627767,957979,0,24496165
1412614227767,2012904,0,48636201
1412617827767,4009965,0,78851896
1412621427767,7485955,0,104386758
